Timestamp,Gender ?,Your City,"On average, how many hours per day do you spend on social media?",What is your age?,Current Occuption,Which social media platform do you use the most?,What type of content do you consume most? (Select all that apply),How many hours of sleep do you get on average per night?,Do you use social media right before sleeping?  ,Do you check social media immediately after waking up?  ,"When you receive a notification while studying, what is your immediate reaction?",  What is the specific thing about social media that causes you the most stress or anxiety?  ,How often do you find yourself comparing your life to others?,"Do you feel ""FOMO"" (Fear of Missing Out) when you are offline?","In a few words, describe how you feel when you see your friends having fun without you on social media.",With how many specific people do you interact (DM/Tag) on a daily basis?,How would you rate your current daily stress level?,What is your current CGPA range? ,  Why do you usually open social media when you are supposed to be studying?  ,  Do you use social media to escape or forget about your real-life problems?  ,  How often do you get into arguments or heated discussions in comment sections?  ,  How does it affect your mood if a post you made gets fewer likes than you expected?  ,"Have you ever experienced any negative events on social media? (cyberbullying, harassment, hate comments, etc.)  ",Do you have any medically approved mental disorder?
15/12/2025 20:18:05,Female,Peshawar ,3.0,18-30,Employed,Instagram ,Educational/Informative,5-7,Sometimes,Rarely,Check it after a few minutes,Criticism to each other ,5.0,1.0,I feel nothing ,More than 10 people,1.0,3.1–3.5,U tube ,Yes,1.0,It doesn't matter,No,No
15/12/2025 20:43:09,Male,Chitral ,4.0,18-30,Student,Instagram,Friends/Family updates,5-7,Often,Often,Get annoyed but check it,Lots of information at a time. ,1.0,4.0,Sort of not feeling good ,0 (I just scroll),2.0,3.1–3.5,To get distracted ,Yes,1.0,I Feel Bad,Yes,No
15/12/2025 21:21:59,Male,Peshawar ,4.0,18-30,Student,Whatsapp,"Educational/Informative, Lifestyle/Influencers",5-7,Rarely,Rarely,Check it after a few minutes,Fake news ,1.0,1.0,I m very happy at that time ,1-3 people,2.0,2.5–3.0,"Goggle,YouTube,chat Gpt, Canva, capcut",No,1.0,It doesn't matter,No,No
15/12/2025 22:16:56,Male,Islamabad ,1.0,18-30,Employed,Whatsapp,"News/Politics, Educational/Informative",5-7,Always,Always,Check it immediately,"When i saw: Unlawful acts, unethical event or activity, news regarding wars, news of gaza and when there is  different treatment for poor and rich. ",1.0,1.0,"Yes he has to be happy and have to fun because ""i am not there but Allah is everywhere"" ",0 (I just scroll),1.0,3.1–3.5,Yes,No,1.0,It doesn't matter,No,No
15/12/2025 22:44:09,Male,Chitral/Isb,10.0,18-30,Student,Whatsapp,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Often,Check it immediately,When you seen any bad content about your favorite things....,1.0,2.0,I don't think about this one....,More than 10 people,3.0,< 2.5,IDK ,Yes,1.0,It doesn't matter,Yes,No
15/12/2025 23:27:01,Male,Rawalpindi ,9.0,12-18,Student,YouTube,Lifestyle/Influencers,1-5 Hours,Always,Often,Ignore it completely,Success ,5.0,1.0,Nothing ,1-3 people,2.0,3.1–3.5,Msg ,No,2.0,It doesn't matter,No,No
16/12/2025 02:03:18,Male,Karachi,6.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Always,Often,Check it after a few minutes,No idea,2.0,3.0,Nothing,1-3 people,3.0,2.5–3.0,Chatgpt,No,1.0,It doesn't matter,No,No
16/12/2025 10:46:17,Female,Muzaffarabad,4.0,18-30,Student,Instagram,Entertainment/Memes,5-7,Often,Sometimes,Check it after a few minutes,Some bad news,3.0,1.0,I have fomo,4-10 people,1.0,3.1–3.5,I got distracted,No,1.0,It doesn't matter,No,No
16/12/2025 10:56:58,Female,Peshawar ,9.0,18-30,Student,Whatsapp,"Educational/Informative, Lifestyle/Influencers",5-7,Never,Sometimes,Check it immediately,I am studying general Knowledge ,5.0,3.0,I am very happy feel,1-3 people,4.0,3.6–4.0,Replace the Habit,Yes,2.0,It doesn't matter,Yes,No
16/12/2025 10:59:04,Male,Peshawar ,10.0,18-30,Student,TikTok,"Entertainment/Memes, News/Politics, Educational/Informative, Lifestyle/Influencers, Friends/Family updates",5-7,Always,Always,Check it immediately,"The specific thing about social media that causes the most stress or anxiety is constant comparison with others. Seeing people’s achievements, perfect lifestyles, and success makes you feel inadequate or pressured. Fear of missing out (FOMO), negative comments, and the need for likes and approval also create mental stress and anxiety.",2.0,2.0,"I feel left out, sad, and sometimes insecure when I see my friends having fun without me on social media",4-10 people,2.0,3.1–3.5,"I supposed to be studying, I usually open social media because it is more interesting and gives instant pleasure. Studying requires effort and concentration, which can feel stressful or boring, so the brain looks for an easy escape. Social media provides quick entertainment, reduces stress for a short time, and makes you feel connected to others. Procrastination, lack of motivation, and poor time management also make it easier to choose social media over studying.",No,1.0,It doesn't matter,No,No
